"DICE","Network","Hemi","Group","subj"
0.0239520967006683,"VA_B","Left","CGS-",133928
0.105263158679008,"VA_B","Left","CGS-",136227
0,"VA_B","Left","CGS-",144832
0.0716112554073334,"VA_B","Left","CGS-",147737
0.408888876438141,"VA_B","Left","CGS-",161731
0.0095693776383996,"VA_B","Left","CGS-",163331
0.132584273815155,"VA_B","Left","CGS-",165234
0.0943396240472794,"VA_B","Left","CGS-",167743
0.179775282740593,"VA_B","Left","CGS-",173940
0.103151865303516,"VA_B","Left","CGS-",194847
0.0677506774663925,"VA_B","Left","CGS-",210011
0.112462006509304,"VA_B","Left","CGS-",210415
0.00584795325994492,"VA_B","Left","CGS-",214726
0.266081869602203,"VA_B","Left","CGS-",217429
0.01476014778018,"VA_B","Left","CGS-",371843
0.00900900922715664,"VA_B","Left","CGS-",422632
0.0471204183995724,"VA_B","Left","CGS-",475855
0.00321543402969837,"VA_B","Left","CGS-",485757
0.0623229444026947,"VA_B","Left","CGS-",592455
0.254480272531509,"VA_B","Left","CGS-",645551
0.050104383379221,"VA_B","Left","CGS-",654754
0.174242421984673,"VA_B","Left","CGS-",679568
0.176811590790749,"VA_B","Left","CGS-",734045
0.115942031145096,"VA_B","Left","CGS-",788876
0.108391605317593,"VA_B","Left","CGS-",937160
0.0220994483679533,"VA_B","Left","CGS-",957974
0.0180995482951403,"VA_B","Left","CGS-",105620
0.0971128642559052,"VA_B","Left","CGS-",109830
0.00836820062249899,"VA_B","Left","CGS-",117930
0.00439560459926724,"VA_B","Left","CGS-",129634
0.240131571888924,"VA_B","Left","CGS-",134223
0.233668342232704,"VA_B","Left","CGS-",136732
0.118971064686775,"VA_B","Left","CGS-",144125
0.0025252525229007,"VA_B","Left","CGS-",160729
0.0555555559694767,"VA_B","Left","CGS-",170631
0.0103448275476694,"VA_B","Left","CGS-",175742
0.178391963243484,"VA_B","Left","CGS-",192136
0.041800644248724,"VA_B","Left","CGS-",208125
0.0190023761242628,"VA_B","Left","CGS-",220721
0.0321782194077969,"VA_B","Left","CGS-",576255
0.00791556760668755,"VA_B","Left","CGS-",588565
0.0878661051392555,"VA_B","Left","CGS-",680250
0.227611944079399,"VA_B","Left","CGS-",894774
0.0517241396009922,"VA_B","Left","CGS-",993675
0.038922157138586,"CTRL_A","Left","CGS-",133928
0.0338345877826214,"CTRL_A","Left","CGS-",136227
0.0416666679084301,"CTRL_A","Left","CGS-",144832
0,"CTRL_A","Left","CGS-",147737
0,"CTRL_A","Left","CGS-",161731
0.248803824186325,"CTRL_A","Left","CGS-",163331
0.0516853928565979,"CTRL_A","Left","CGS-",165234
0.0512129366397858,"CTRL_A","Left","CGS-",167743
0,"CTRL_A","Left","CGS-",173940
0.00859598815441132,"CTRL_A","Left","CGS-",194847
0,"CTRL_A","Left","CGS-",210011
0.106382980942726,"CTRL_A","Left","CGS-",210415
0,"CTRL_A","Left","CGS-",214726
0,"CTRL_A","Left","CGS-",217429
0.0369003675878048,"CTRL_A","Left","CGS-",371843
0.00300300307571888,"CTRL_A","Left","CGS-",422632
0,"CTRL_A","Left","CGS-",475855
0.192926049232483,"CTRL_A","Left","CGS-",485757
0.00849858392030001,"CTRL_A","Left","CGS-",592455
0,"CTRL_A","Left","CGS-",645551
0.0563674308359623,"CTRL_A","Left","CGS-",654754
0,"CTRL_A","Left","CGS-",679568
0,"CTRL_A","Left","CGS-",734045
0,"CTRL_A","Left","CGS-",788876
0,"CTRL_A","Left","CGS-",937160
0,"CTRL_A","Left","CGS-",957974
0,"CTRL_A","Left","CGS-",105620
0.031496062874794,"CTRL_A","Left","CGS-",109830
0,"CTRL_A","Left","CGS-",117930
0,"CTRL_A","Left","CGS-",129634
0.0888157859444618,"CTRL_A","Left","CGS-",134223
0.075376883149147,"CTRL_A","Left","CGS-",136732
0.0610932484269142,"CTRL_A","Left","CGS-",144125
0,"CTRL_A","Left","CGS-",160729
0.0158730167895555,"CTRL_A","Left","CGS-",170631
0.134482756257057,"CTRL_A","Left","CGS-",175742
0,"CTRL_A","Left","CGS-",192136
0,"CTRL_A","Left","CGS-",208125
0.0475059375166893,"CTRL_A","Left","CGS-",220721
0.00495049497112632,"CTRL_A","Left","CGS-",576255
0.0211081802845001,"CTRL_A","Left","CGS-",588565
0,"CTRL_A","Left","CGS-",680250
0,"CTRL_A","Left","CGS-",894774
0.0172413792461157,"CTRL_A","Left","CGS-",993675
0,"VIS_A","Left","CGS-",133928
0,"VIS_A","Left","CGS-",136227
0,"VIS_A","Left","CGS-",144832
0,"VIS_A","Left","CGS-",147737
0,"VIS_A","Left","CGS-",161731
0.0047846888191998,"VIS_A","Left","CGS-",163331
0,"VIS_A","Left","CGS-",165234
0,"VIS_A","Left","CGS-",167743
0,"VIS_A","Left","CGS-",173940
0,"VIS_A","Left","CGS-",194847
0,"VIS_A","Left","CGS-",210011
0,"VIS_A","Left","CGS-",210415
0,"VIS_A","Left","CGS-",214726
0,"VIS_A","Left","CGS-",217429
0,"VIS_A","Left","CGS-",371843
0,"VIS_A","Left","CGS-",422632
0,"VIS_A","Left","CGS-",475855
0,"VIS_A","Left","CGS-",485757
0,"VIS_A","Left","CGS-",592455
0,"VIS_A","Left","CGS-",645551
0,"VIS_A","Left","CGS-",654754
0,"VIS_A","Left","CGS-",679568
0,"VIS_A","Left","CGS-",734045
0,"VIS_A","Left","CGS-",788876
0,"VIS_A","Left","CGS-",937160
0,"VIS_A","Left","CGS-",957974
0,"VIS_A","Left","CGS-",105620
0,"VIS_A","Left","CGS-",109830
0,"VIS_A","Left","CGS-",117930
0,"VIS_A","Left","CGS-",129634
0,"VIS_A","Left","CGS-",134223
0,"VIS_A","Left","CGS-",136732
0,"VIS_A","Left","CGS-",144125
0,"VIS_A","Left","CGS-",160729
0,"VIS_A","Left","CGS-",170631
0,"VIS_A","Left","CGS-",175742
0,"VIS_A","Left","CGS-",192136
0,"VIS_A","Left","CGS-",208125
0,"VIS_A","Left","CGS-",220721
0,"VIS_A","Left","CGS-",576255
0,"VIS_A","Left","CGS-",588565
0,"VIS_A","Left","CGS-",680250
0,"VIS_A","Left","CGS-",894774
0,"VIS_A","Left","CGS-",993675
0.00898203626275063,"TP","Left","CGS-",133928
0.142857149243355,"TP","Left","CGS-",136227
0.133333340287209,"TP","Left","CGS-",144832
0.0179028138518333,"TP","Left","CGS-",147737
0.00888888910412788,"TP","Left","CGS-",161731
0.172248810529709,"TP","Left","CGS-",163331
0,"TP","Left","CGS-",165234
0,"TP","Left","CGS-",167743
0.123595505952835,"TP","Left","CGS-",173940
0.00286532961763442,"TP","Left","CGS-",194847
0.105691060423851,"TP","Left","CGS-",210011
0,"TP","Left","CGS-",210415
0.116959065198898,"TP","Left","CGS-",214726
0,"TP","Left","CGS-",217429
0.00738007389008999,"TP","Left","CGS-",371843
0,"TP","Left","CGS-",422632
0.0183246079832315,"TP","Left","CGS-",475855
0,"TP","Left","CGS-",485757
0.124645888805389,"TP","Left","CGS-",592455
0.0537634417414665,"TP","Left","CGS-",645551
0.0855949893593788,"TP","Left","CGS-",654754
0.0833333358168602,"TP","Left","CGS-",679568
0,"TP","Left","CGS-",734045
0.00724637694656849,"TP","Left","CGS-",788876
0.0279720276594162,"TP","Left","CGS-",937160
0.0331491716206074,"TP","Left","CGS-",957974
0.0769230797886848,"TP","Left","CGS-",105620
0.0524934381246567,"TP","Left","CGS-",109830
0.102510459721088,"TP","Left","CGS-",117930
0.123076923191547,"TP","Left","CGS-",129634
0.111842103302479,"TP","Left","CGS-",134223
0.00753768859431148,"TP","Left","CGS-",136732
0,"TP","Left","CGS-",144125
