GROUP,WASSER,HEMI
CGS-,0.009052217,LH
CGS-,0.008498691,LH
CGS-,0.018268563,LH
CGS-,0.028052129,LH
CGS-,0.014933825,LH
CGS-,0.009548387,LH
CGS-,0.012706155,LH
CGS-,0.009239287,LH
CGS-,0.009581041,LH
CGS-,0.021369025,LH
CGS-,0.017829172,LH
CGS-,0.036048643,LH
CGS-,0.028630048,LH
CGS-,0.013903601,LH
CGS-,0.016042108,LH
CGS-,0.018494271,LH
CGS-,0.011527542,LH
CGS-,0.028939288,LH
CGS-,0.009596241,LH
CGS-,0.017525062,LH
CGS-,0.015466395,LH
CGS-,0.01366168,LH
CGS-,0.011348147,LH
CGS-,0.017050227,LH
CGS-,0.02794541,LH
CGS-,0.039190717,LH
CGS-,0.00778249,LH
CGS-,0.026127417,LH
CGS-,0.020259418,LH
CGS-,0.01757244,LH
CGS-,0.007747438,LH
CGS-,0.009468484,LH
CGS-,0.023393501,LH
CGS-,0.019011464,LH
CGS-,0.009797039,LH
CGS-,0.005157877,LH
CGS-,0.017107829,LH
CGS-,0.013546471,LH
CGS-,0.015193259,LH
CGS-,0.019479899,LH
CGS-,0.016748194,LH
CGS-,0.027800413,LH
CGS-,0.011665454,LH
CGS-,0.012322472,LH
CGS-,0.025102623,LH
CGS-,0.033330381,LH
CGS-,0.013228259,LH
CGS-,0.004588801,LH
CGS-,0.016714927,LH
CGS-,0.01515189,LH
CGS-,0.014054181,LH
CGS-,0.02309576,LH
CGS-,0.022434056,LH
CGS-,0.042237949,LH
CGS-,0.0339083,LH
CGS-,0.020423317,LH
CGS-,0.020793904,LH
CGS-,0.022967411,LH
CGS-,0.011985703,LH
CGS-,0.035041779,LH
CGS-,0.010646475,LH
CGS-,0.02021848,LH
CGS-,0.018693125,LH
CGS-,0.018939933,LH
CGS-,0.017537449,LH
CGS-,0.021891419,LH
CGS-,0.032418549,LH
CGS-,0.043663852,LH
CGS-,0.009217114,LH
CGS-,0.026855227,LH
CGS-,0.026373629,LH
CGS-,0.011996907,LH
CGS-,0.011686028,LH
CGS-,0.007888551,LH
CGS-,0.030387912,LH
CGS-,0.018739659,LH
CGS-,0.017133094,LH
CGS-,0.010661445,LH
CGS-,0.024102243,LH
CGS-,0.015654266,LH
CGS-,0.018372225,LH
CGS-,0.018790571,LH
CGS-,0.020493027,LH
CGS-,0.033989713,LH
CGS-,0.016501701,LH
CGS-,0.023569532,LH
CGS-,0.034509804,LH
CGS-,0.013373673,LH
CGS-,0.010336346,LH
CGS-,0.014312141,LH
CGS-,0.010284938,LH
CGS-,0.014383768,LH
CGS-,0.021154154,LH
CGS-,0.022361288,LH
CGS-,0.036308914,LH
CGS-,0.035087723,LH
CGS-,0.019246077,LH
CGS-,0.018512633,LH
CGS-,0.023026384,LH
CGS-,0.010035098,LH
CGS-,0.029132184,LH
CGS-,0.013135146,LH
CGS-,0.019536208,LH
CGS-,0.014289959,LH
CGS-,0.020119352,LH
CGS-,0.015686275,LH
CGS-,0.021938849,LH
CGS-,0.032477524,LH
CGS-,0.043722831,LH
CGS-,0.0081159,LH
CGS-,0.025797851,LH
CGS-,0.020634923,LH
CGS-,0.020485036,LH
CGS-,0.012715539,LH
CGS-,0.009529665,LH
CGS-,0.029411767,LH
CGS-,0.026921881,LH
CGS-,0.015010142,LH
CGS-,0.011735145,LH
CGS-,0.021057941,LH
CGS-,0.019066805,LH
CGS-,0.021390665,LH
CGS-,0.025677307,LH
CGS-,0.021207651,LH
CGS-,0.03163594,LH
CGS-,0.015092243,LH
CGS-,0.020907009,LH
CGS-,0.028821867,LH
CGS-,0.025555842,LH
CGS-,0.019859392,LH
CGS-,0.018722648,LH
CGS-,0.012485543,LH
CGS-,0.019424781,LH
CGS-,0.008762324,LH
CGS-,0.01933115,LH
CGS-,0.027621835,LH
CGS-,0.006772749,LH
CGS-,0.00838329,LH
CGS-,0.004534188,LH
CGS-,0.024023604,LH
CGS-,0.016143091,LH
CGS-,0.022229018,LH
CGS-,0.019967254,LH
CGS-,0.017258868,LH
CGS-,0.01919663,LH
CGS-,0.01073166,LH
CGS-,0.018572975,LH
CGS-,0.016264558,LH
CGS-,0.024094157,LH
CGS-,0.022025608,LH
CGS-,0.027425466,LH
CGS-,0.011350408,LH
CGS-,0.033340134,LH
CGS-,0.022599835,LH
CGS-,0.023695629,LH
CGS-,0.006436411,LH
CGS-,0.026170855,LH
CGS-,0.014176995,LH
CGS-,0.019052688,LH
CGS-,0.005787492,LH
CGS-,0.018515667,LH
CGS-,0.022417616,LH
CGS-,0.024900634,LH
CGS-,0.021432264,LH
CGS-,0.009984305,LH
CGS-,0.02051001,LH
CGS-,0.036949053,LH
CGS-,0.032042298,LH
CGS-,0.029541776,LH
CGS-,0.02966292,LH
CGS-,0.020239336,LH
CGS-,0.035823375,LH
CGS-,0.021210641,LH
CGS-,0.035424836,LH
CGS-,0.007636738,LH
CGS-,0.020556157,LH
CGS-,0.024207735,LH
CGS-,0.019102078,LH
CGS-,0.033122752,LH
CGS-,0.035841435,LH
CGS-,0.026497994,LH
